Customer ID,Recommended Product,Current Plan,Product Interest,Monthly Data Usage (GB),Monthly Voice Minutes,Monthly SMS Sent,Recommended
32472,Free Device,Unlimited,Data Plans,16.03,358,190,1
34139,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,12.45,1258,494,1
39725,Discounted Data Bundles,Premium,Value-Added Services,11.14,1806,169,1
63797,Free Device,Unlimited,Data Plans,21.53,1845,306,1
96414,Discounted Voice Bundles,Premium,Voice Plans,45.44,1871,447,1
28198,Contract Extension Bonuses,Premium,Device Offers,25.6,521,203,1
69919,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,9.8,1544,55,1
98654,Free Device,Premium,Data Plans,4.31,1309,207,1
15164,Discounted Data Bundles,Unlimited,Voice Plans,34.96,463,40,1
58728,Discounted Data Bundles,Premium,Device Offers,19.45,1730,31,1
55809,Discounted SMS Bundles,Unlimited,Device Offers,41.18,477,14,1
22490,Discounted SMS Bundles,Unlimited,Value-Added Services,33.15,1646,61,1
32144,Upgrade to Premium Services for Free,Premium,Value-Added Services,39.91,679,154,1
76892,Discounted Voice Bundles,Basic,Value-Added Services,13.96,990,283,1
87592,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,34.77,821,208,1
40900,Free Device,Unlimited,Voice Plans,13.57,1319,319,1
66291,Free Device,Basic,Value-Added Services,46.98,980,493,1
47957,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,32.0,1221,186,1
73917,Upgrade to Premium Services for Free,Premium,Device Offers,16.56,704,497,1
70979,Contract Extension Bonuses,Premium,Device Offers,13.84,121,441,1
43328,Contract Extension Bonuses,Basic,Voice Plans,9.95,1573,129,1
61014,Upgrade to Premium Services for Free,Unlimited,Device Offers,34.88,1295,126,1
92176,Contract Extension Bonuses,Premium,Data Plans,11.33,482,291,1
34714,Discounted SMS Bundles,Premium,Device Offers,29.97,233,113,1
32536,Free Device,Premium,Voice Plans,13.6,1549,198,1
91668,Upgrade to Premium Services for Free,Premium,Voice Plans,33.27,1148,12,1
18857,Free Device,Premium,Data Plans,40.84,602,270,1
21158,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,39.01,1308,88,1
37714,Discounted Data Bundles,Unlimited,Device Offers,38.16,1208,214,1
98119,Discounted SMS Bundles,Premium,Device Offers,9.79,1690,443,1
29434,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,4.88,1886,277,1
37747,Discounted SMS Bundles,Unlimited,Data Plans,35.1,243,446,1
22183,Upgrade to Premium Services for Free,Basic,Data Plans,18.73,1986,473,1
22383,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,21.9,1802,480,1
93162,Discounted Data Bundles,Premium,Device Offers,2.04,1535,202,1
59528,Upgrade to Premium Services for Free,Unlimited,Data Plans,13.35,323,73,1
62003,Discounted Voice Bundles,Premium,Voice Plans,2.17,319,24,1
14338,Free Device,Unlimited,Voice Plans,44.02,278,100,1
71328,Discounted Data Bundles,Premium,Device Offers,12.55,1754,175,1
58517,Free Device,Premium,Value-Added Services,28.09,532,426,1
51554,Contract Extension Bonuses,Premium,Device Offers,2.43,364,116,1
48635,Discounted Voice Bundles,Premium,Value-Added Services,33.51,1053,165,1
39235,Discounted Voice Bundles,Basic,Data Plans,16.49,528,40,1
79363,Discounted Data Bundles,Premium,Device Offers,44.95,1785,428,1
53964,Discounted Voice Bundles,Basic,Voice Plans,44.46,515,343,1
98735,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,16.6,1576,423,1
98128,Discounted Voice Bundles,Premium,Voice Plans,45.1,826,365,1
43821,Free Device,Basic,Data Plans,49.81,296,119,1
20696,Free Device,Unlimited,Device Offers,41.36,1677,96,1
83863,Upgrade to Premium Services for Free,Premium,Value-Added Services,42.32,1176,144,1
27856,Free Device,Basic,Data Plans,12.83,579,215,1
22884,Upgrade to Premium Services for Free,Premium,Value-Added Services,29.05,1566,228,1
25138,Free Device,Premium,Data Plans,3.83,1453,312,1
60027,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,5.2,1374,129,1
61886,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,49.95,1930,351,1
71948,Upgrade to Premium Services for Free,Unlimited,Data Plans,16.67,989,376,1
14426,Discounted SMS Bundles,Unlimited,Value-Added Services,37.54,1906,317,1
56855,Contract Extension Bonuses,Basic,Device Offers,40.43,1024,471,1
75112,Discounted Data Bundles,Premium,Device Offers,42.97,222,136,1
57293,Free Device,Basic,Voice Plans,49.88,1510,323,1
26274,Discounted Voice Bundles,Basic,Device Offers,12.45,1462,336,1
88320,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,2.5,877,272,1
32158,Free Device,Premium,Device Offers,20.85,447,116,1
51939,Discounted Voice Bundles,Basic,Data Plans,6.94,128,305,1
59474,Contract Extension Bonuses,Premium,Voice Plans,1.61,1074,367,1
50756,Contract Extension Bonuses,Basic,Voice Plans,18.34,134,93,1
34922,Contract Extension Bonuses,Unlimited,Data Plans,39.3,1641,167,1
60550,Discounted Voice Bundles,Basic,Voice Plans,28.53,1519,441,1
39236,Free Device,Basic,Device Offers,15.98,722,202,1
19432,Contract Extension Bonuses,Unlimited,Device Offers,32.89,1417,340,1
62666,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,11.98,688,148,1
94536,Upgrade to Premium Services for Free,Premium,Device Offers,1.21,1472,401,1
40311,Discounted Voice Bundles,Basic,Value-Added Services,38.34,1270,182,1
53808,Discounted Voice Bundles,Unlimited,Voice Plans,31.38,1190,412,1
81641,Free Device,Premium,Data Plans,38.23,1003,151,1
41753,Discounted Voice Bundles,Basic,Value-Added Services,2.43,619,73,1
39758,Discounted Voice Bundles,Unlimited,Voice Plans,41.94,221,364,1
29528,Contract Extension Bonuses,Premium,Data Plans,31.17,439,400,1
11305,Free Device,Premium,Device Offers,28.39,274,273,1
42417,Contract Extension Bonuses,Unlimited,Data Plans,31.42,1814,41,1
72131,Upgrade to Premium Services for Free,Unlimited,Value-Added Services,43.29,696,495,1
86007,Loyalty-Based Free Data Top-Ups,Unlimited,Device Offers,29.55,550,211,1
24697,Upgrade to Premium Services for Free,Unlimited,Voice Plans,29.26,656,100,1
13293,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,49.54,1259,44,1
43808,Contract Extension Bonuses,Unlimited,Voice Plans,37.96,1978,81,1
92401,Upgrade to Premium Services for Free,Premium,Voice Plans,22.39,1139,16,1
26257,Free Device,Premium,Data Plans,35.52,1456,72,1
49723,Discounted Data Bundles,Basic,Data Plans,19.77,1318,13,1
78864,Contract Extension Bonuses,Premium,Data Plans,11.83,1619,432,1
70873,Loyalty-Based Free Data Top-Ups,Premium,Value-Added Services,30.04,108,156,1
96895,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,46.45,1951,222,1
22909,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,46.49,433,131,1
74437,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,17.42,1456,337,1
39078,Discounted Voice Bundles,Unlimited,Device Offers,26.62,1116,403,1
69816,Upgrade to Premium Services for Free,Unlimited,Device Offers,10.98,426,375,1
32537,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,49.78,114,375,1
52987,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,49.07,938,46,1
37672,Discounted Voice Bundles,Unlimited,Device Offers,32.65,1737,106,1
79123,Discounted Data Bundles,Basic,Voice Plans,40.32,325,107,1
94581,Free Device,Unlimited,Device Offers,35.9,1548,264,1
65049,Free Device,Basic,Device Offers,29.86,1913,204,1
56883,Free Device,Basic,Value-Added Services,3.14,1531,78,1
73152,Loyalty-Based Free Data Top-Ups,Premium,Device Offers,23.01,212,154,1
74540,Discounted Data Bundles,Premium,Value-Added Services,33.9,1551,270,1
64268,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,34.04,100,475,1
34386,Upgrade to Premium Services for Free,Unlimited,Data Plans,18.97,365,484,1
64753,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,47.11,1614,246,1
37073,Discounted Data Bundles,Unlimited,Voice Plans,8.78,1331,18,1
61052,Discounted Data Bundles,Basic,Data Plans,25.27,1745,345,1
41354,Upgrade to Premium Services for Free,Basic,Value-Added Services,34.7,1835,435,1
59662,Discounted Data Bundles,Unlimited,Value-Added Services,35.01,1051,25,1
62728,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,32.61,1492,216,1
83117,Discounted Data Bundles,Premium,Value-Added Services,14.13,405,153,1
25474,Free Device,Unlimited,Device Offers,8.23,111,153,1
46607,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,31.98,1468,173,1
73449,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,30.17,1588,91,1
49734,Upgrade to Premium Services for Free,Basic,Value-Added Services,9.38,1823,432,1
83472,Discounted SMS Bundles,Unlimited,Voice Plans,35.4,1789,337,1
93629,Discounted SMS Bundles,Premium,Device Offers,23.03,1617,479,1
42547,Discounted Data Bundles,Basic,Value-Added Services,33.55,1491,180,1
34347,Loyalty-Based Free Data Top-Ups,Unlimited,Voice Plans,41.95,1969,130,1
11835,Discounted SMS Bundles,Unlimited,Value-Added Services,8.9,1036,449,1
53215,Discounted SMS Bundles,Unlimited,Voice Plans,1.45,519,480,1
87871,Discounted Data Bundles,Premium,Voice Plans,39.07,988,297,1
46399,Discounted SMS Bundles,Premium,Device Offers,30.68,1914,274,1
88471,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,35.13,270,272,1
27445,Discounted Voice Bundles,Basic,Device Offers,41.99,233,491,1
19020,Upgrade to Premium Services for Free,Basic,Voice Plans,40.24,1064,416,1
99336,Discounted Voice Bundles,Premium,Data Plans,48.07,1550,75,1
13296,Discounted Data Bundles,Basic,Value-Added Services,27.03,1148,176,1
30628,Free Device,Premium,Data Plans,24.68,1653,183,1
81645,Upgrade to Premium Services for Free,Unlimited,Value-Added Services,20.39,1313,318,1
44565,Discounted Data Bundles,Premium,Device Offers,8.11,1264,130,1
50146,Loyalty-Based Free Data Top-Ups,Premium,Device Offers,28.84,1678,362,1
58513,Free Device,Unlimited,Device Offers,14.21,1969,48,1
26644,Discounted Voice Bundles,Basic,Device Offers,46.1,1919,54,1
67321,Discounted Data Bundles,Premium,Device Offers,29.37,757,153,1
91149,Loyalty-Based Free Data Top-Ups,Premium,Data Plans,29.85,1438,354,1
67337,Upgrade to Premium Services for Free,Unlimited,Device Offers,18.07,1567,199,1
93512,Upgrade to Premium Services for Free,Basic,Voice Plans,3.07,1442,307,1
32659,Contract Extension Bonuses,Premium,Voice Plans,2.07,1564,355,1
73816,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,21.46,1215,372,1
68667,Loyalty-Based Free Data Top-Ups,Premium,Value-Added Services,4.69,278,117,1
73016,Discounted SMS Bundles,Unlimited,Voice Plans,30.54,1179,262,1
21729,Free Device,Basic,Value-Added Services,44.11,1278,45,1
35036,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,44.2,1795,301,1
77794,Contract Extension Bonuses,Basic,Value-Added Services,33.12,210,355,1
99836,Discounted SMS Bundles,Basic,Value-Added Services,10.96,236,399,1
65328,Discounted SMS Bundles,Premium,Value-Added Services,43.22,331,407,1
68764,Discounted Data Bundles,Premium,Value-Added Services,44.36,1091,188,1
89242,Discounted SMS Bundles,Basic,Data Plans,10.23,567,309,1
59937,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,37.0,831,317,1
86561,Upgrade to Premium Services for Free,Basic,Device Offers,14.68,580,128,1
13866,Contract Extension Bonuses,Premium,Value-Added Services,40.23,1191,48,1
68610,Discounted SMS Bundles,Basic,Voice Plans,49.86,913,24,1
30143,Discounted Data Bundles,Basic,Voice Plans,1.99,1372,265,1
83004,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,44.92,1093,117,1
25994,Discounted Voice Bundles,Unlimited,Voice Plans,31.32,422,463,1
69663,Upgrade to Premium Services for Free,Basic,Data Plans,48.68,1021,143,1
55917,Upgrade to Premium Services for Free,Unlimited,Value-Added Services,23.52,1003,441,1
59182,Contract Extension Bonuses,Unlimited,Value-Added Services,42.45,1641,199,1
16336,Upgrade to Premium Services for Free,Basic,Device Offers,3.59,1915,156,1
38310,Discounted SMS Bundles,Unlimited,Device Offers,17.1,1555,486,1
57382,Discounted Data Bundles,Basic,Device Offers,3.82,1610,347,1
70461,Upgrade to Premium Services for Free,Premium,Voice Plans,48.78,705,133,1
13554,Upgrade to Premium Services for Free,Premium,Value-Added Services,40.94,528,399,1
57660,Discounted Voice Bundles,Premium,Data Plans,42.7,1392,147,1
40802,Discounted Voice Bundles,Premium,Device Offers,46.93,1832,335,1
40555,Free Device,Unlimited,Data Plans,4.71,1660,70,1
68390,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,19.59,247,232,1
59002,Discounted SMS Bundles,Basic,Device Offers,4.02,1241,333,1
69945,Upgrade to Premium Services for Free,Basic,Value-Added Services,10.93,949,298,1
43191,Loyalty-Based Free Data Top-Ups,Premium,Device Offers,11.85,466,153,1
61059,Upgrade to Premium Services for Free,Premium,Data Plans,23.72,949,89,1
83304,Discounted Data Bundles,Basic,Device Offers,13.79,1189,333,1
45982,Free Device,Premium,Data Plans,5.5,912,198,1
82396,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,8.79,1493,160,1
15122,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,7.79,274,25,1
51959,Free Device,Basic,Voice Plans,48.67,1954,120,1
88683,Contract Extension Bonuses,Basic,Device Offers,38.08,687,300,1
11324,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,48.4,594,211,1
20857,Upgrade to Premium Services for Free,Basic,Data Plans,22.27,1072,62,1
61510,Upgrade to Premium Services for Free,Basic,Data Plans,14.28,1237,450,1
11626,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,40.02,1234,435,1
53075,Upgrade to Premium Services for Free,Basic,Data Plans,16.65,1884,67,1
27457,Discounted SMS Bundles,Basic,Voice Plans,15.32,1562,252,1
98877,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,12.01,1838,409,1
84841,Free Device,Premium,Data Plans,6.92,1270,458,1
83297,Loyalty-Based Free Data Top-Ups,Premium,Value-Added Services,13.19,134,1,1
22062,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,18.09,1098,397,1
38678,Upgrade to Premium Services for Free,Unlimited,Device Offers,33.86,1432,107,1
16706,Discounted SMS Bundles,Unlimited,Device Offers,3.6,637,285,1
50151,Discounted SMS Bundles,Premium,Data Plans,10.92,849,48,1
58706,Contract Extension Bonuses,Unlimited,Value-Added Services,40.55,1137,139,1
42681,Free Device,Premium,Data Plans,7.77,473,217,1
92720,Discounted Voice Bundles,Basic,Value-Added Services,17.46,656,43,1
35098,Discounted Voice Bundles,Unlimited,Voice Plans,43.3,1551,416,1
44604,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,8.17,1851,268,1
55521,Contract Extension Bonuses,Unlimited,Voice Plans,4.6,332,77,1
83732,Discounted Data Bundles,Basic,Voice Plans,24.48,804,215,1
95425,Loyalty-Based Free Data Top-Ups,Unlimited,Device Offers,15.47,662,381,1
45677,Contract Extension Bonuses,Basic,Device Offers,28.39,1038,97,1
31375,Free Device,Basic,Data Plans,40.29,986,235,1
30890,Free Device,Unlimited,Value-Added Services,7.29,825,281,1
55340,Free Device,Basic,Voice Plans,29.24,1786,148,1
58184,Free Device,Basic,Voice Plans,25.52,1563,411,1
44771,Free Device,Basic,Value-Added Services,7.63,1625,303,1
35160,Contract Extension Bonuses,Unlimited,Value-Added Services,31.39,1398,483,1
59645,Contract Extension Bonuses,Unlimited,Data Plans,14.05,1973,423,1
77798,Discounted SMS Bundles,Basic,Value-Added Services,24.65,175,65,1
63435,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,4.57,538,233,1
83215,Discounted Voice Bundles,Unlimited,Voice Plans,23.25,1855,456,1
55746,Upgrade to Premium Services for Free,Unlimited,Voice Plans,15.67,1983,86,1
58389,Free Device,Basic,Voice Plans,41.21,798,78,1
68910,Discounted Data Bundles,Basic,Voice Plans,3.32,1412,204,1
84157,Upgrade to Premium Services for Free,Basic,Data Plans,21.22,1014,278,1
49283,Contract Extension Bonuses,Premium,Voice Plans,23.19,1663,336,1
54483,Discounted Data Bundles,Unlimited,Data Plans,36.39,990,253,1
87934,Discounted Data Bundles,Premium,Voice Plans,28.93,791,303,1
97441,Discounted Data Bundles,Unlimited,Device Offers,33.53,352,379,1
52008,Discounted SMS Bundles,Unlimited,Device Offers,38.96,1249,129,1
23903,Contract Extension Bonuses,Unlimited,Device Offers,43.18,1300,83,1
92931,Discounted Data Bundles,Unlimited,Device Offers,16.04,1160,275,1
64540,Free Device,Unlimited,Data Plans,27.13,509,186,1
11145,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,42.09,1734,45,1
50632,Discounted Data Bundles,Unlimited,Value-Added Services,49.48,1733,386,1
80260,Discounted SMS Bundles,Premium,Voice Plans,44.53,226,182,1
96522,Upgrade to Premium Services for Free,Basic,Device Offers,18.89,1606,267,1
83462,Contract Extension Bonuses,Basic,Data Plans,10.16,1291,295,1
30726,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,24.72,691,321,1
20845,Discounted SMS Bundles,Premium,Voice Plans,37.21,393,99,1
37157,Discounted Data Bundles,Premium,Data Plans,24.88,1968,77,1
92740,Contract Extension Bonuses,Premium,Device Offers,24.42,1761,271,1
28440,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,41.99,1466,338,1
56169,Discounted Data Bundles,Basic,Voice Plans,18.39,1119,161,1
69153,Discounted SMS Bundles,Unlimited,Value-Added Services,43.06,409,43,1
69232,Discounted Voice Bundles,Basic,Device Offers,20.64,761,237,1
22775,Free Device,Basic,Device Offers,16.75,627,133,1
93913,Loyalty-Based Free Data Top-Ups,Premium,Value-Added Services,22.97,639,460,1
22767,Upgrade to Premium Services for Free,Unlimited,Device Offers,38.24,518,191,1
28196,Discounted SMS Bundles,Premium,Voice Plans,6.74,543,355,1
61759,Contract Extension Bonuses,Unlimited,Value-Added Services,10.22,784,277,1
81015,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,47.6,1681,17,1
22857,Loyalty-Based Free Data Top-Ups,Premium,Value-Added Services,9.19,939,11,1
22525,Loyalty-Based Free Data Top-Ups,Premium,Voice Plans,28.6,335,179,1
38089,Discounted Data Bundles,Basic,Device Offers,29.18,1562,122,1
57241,Free Device,Basic,Voice Plans,24.74,313,245,1
37979,Discounted Data Bundles,Basic,Device Offers,32.41,184,221,1
86733,Contract Extension Bonuses,Premium,Data Plans,11.88,893,372,1
63156,Discounted Data Bundles,Unlimited,Device Offers,27.86,1867,50,1
71680,Discounted Voice Bundles,Premium,Value-Added Services,18.92,184,487,1
55379,Free Device,Unlimited,Device Offers,33.25,1612,70,1
90494,Free Device,Premium,Voice Plans,7.49,164,479,1
15765,Contract Extension Bonuses,Premium,Voice Plans,28.76,1769,47,1
86468,Upgrade to Premium Services for Free,Basic,Device Offers,9.67,762,18,1
82183,Discounted Voice Bundles,Unlimited,Value-Added Services,14.29,726,261,1
33427,Discounted SMS Bundles,Premium,Data Plans,11.33,163,83,1
86546,Discounted Data Bundles,Premium,Value-Added Services,9.55,1466,154,1
61405,Loyalty-Based Free Data Top-Ups,Basic,Data Plans,41.37,1038,52,1
69379,Discounted Data Bundles,Basic,Voice Plans,14.64,1998,106,1
33550,Loyalty-Based Free Data Top-Ups,Unlimited,Value-Added Services,46.39,1018,356,1
28842,Discounted Data Bundles,Premium,Data Plans,48.51,1475,303,1
83104,Discounted SMS Bundles,Unlimited,Device Offers,28.78,1281,134,1
17167,Discounted Data Bundles,Premium,Voice Plans,7.58,1712,442,1
55140,Discounted Voice Bundles,Unlimited,Device Offers,19.04,590,68,1
98986,Discounted Voice Bundles,Basic,Voice Plans,39.99,1781,10,1
56833,Free Device,Premium,Value-Added Services,18.69,1978,142,1
21565,Contract Extension Bonuses,Unlimited,Value-Added Services,4.81,1586,191,1
24514,Upgrade to Premium Services for Free,Basic,Voice Plans,28.06,1348,386,1
98879,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,42.33,412,377,1
21510,Loyalty-Based Free Data Top-Ups,Unlimited,Voice Plans,39.9,714,68,1
58572,Discounted Data Bundles,Premium,Value-Added Services,9.17,1018,22,1
44447,Discounted Data Bundles,Premium,Data Plans,33.8,1982,180,1
41157,Discounted SMS Bundles,Basic,Device Offers,11.41,912,292,1
30945,Contract Extension Bonuses,Premium,Device Offers,11.3,1039,8,1
93936,Discounted Voice Bundles,Premium,Value-Added Services,43.77,1589,270,1
57289,Loyalty-Based Free Data Top-Ups,Premium,Device Offers,12.86,1211,386,1
29912,Free Device,Basic,Voice Plans,13.53,1426,92,1
15779,Discounted Voice Bundles,Unlimited,Data Plans,0.53,779,453,1
88876,Loyalty-Based Free Data Top-Ups,Premium,Device Offers,43.6,534,16,1
22521,Contract Extension Bonuses,Basic,Data Plans,39.73,781,153,1
78337,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,31.55,1258,404,1
11218,Upgrade to Premium Services for Free,Unlimited,Device Offers,37.64,1173,327,1
70425,Free Device,Premium,Value-Added Services,8.03,1555,148,1
67941,Upgrade to Premium Services for Free,Premium,Data Plans,23.19,439,376,1
47478,Discounted SMS Bundles,Unlimited,Voice Plans,17.89,446,266,1
39489,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,5.14,745,421,1
76625,Discounted SMS Bundles,Basic,Device Offers,24.56,1470,327,1
81496,Discounted Data Bundles,Basic,Device Offers,46.08,748,105,1
75866,Upgrade to Premium Services for Free,Unlimited,Value-Added Services,2.48,344,471,1
46428,Contract Extension Bonuses,Premium,Voice Plans,14.93,208,380,1
71833,Loyalty-Based Free Data Top-Ups,Basic,Voice Plans,10.77,1948,34,1
71593,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,12.29,1922,118,1
20382,Free Device,Premium,Value-Added Services,45.47,632,13,1
21302,Discounted Voice Bundles,Basic,Voice Plans,23.67,1213,13,1
53015,Contract Extension Bonuses,Premium,Data Plans,23.58,395,265,1
64797,Contract Extension Bonuses,Premium,Data Plans,38.15,211,139,1
24350,Discounted SMS Bundles,Premium,Value-Added Services,8.15,1936,293,1
71037,Upgrade to Premium Services for Free,Unlimited,Data Plans,24.62,1712,363,1
66774,Loyalty-Based Free Data Top-Ups,Unlimited,Voice Plans,21.78,1300,118,1
31236,Loyalty-Based Free Data Top-Ups,Unlimited,Device Offers,30.05,442,237,1
12539,Discounted Data Bundles,Premium,Device Offers,49.98,1783,33,1
88359,Discounted Data Bundles,Premium,Data Plans,38.59,200,168,1
15681,Free Device,Unlimited,Value-Added Services,20.19,1881,9,1
85562,Discounted SMS Bundles,Basic,Value-Added Services,41.46,728,121,1
79814,Contract Extension Bonuses,Premium,Value-Added Services,8.95,1727,400,1
61248,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,2.01,1524,144,1
70434,Loyalty-Based Free Data Top-Ups,Basic,Value-Added Services,10.62,127,450,1
64742,Discounted SMS Bundles,Premium,Data Plans,17.35,1036,445,1
43604,Free Device,Premium,Device Offers,25.77,1660,222,1
17893,Free Device,Basic,Device Offers,30.95,157,370,1
42916,Discounted SMS Bundles,Basic,Data Plans,45.57,1621,256,1
89920,Free Device,Unlimited,Value-Added Services,25.74,396,267,1
84827,Discounted SMS Bundles,Unlimited,Data Plans,25.31,233,358,1
25102,Discounted Voice Bundles,Premium,Device Offers,2.99,1454,3,1
38263,Discounted SMS Bundles,Unlimited,Voice Plans,2.23,348,425,1
45881,Upgrade to Premium Services for Free,Unlimited,Data Plans,27.78,1120,396,1
62263,Discounted SMS Bundles,Unlimited,Value-Added Services,22.19,649,353,1
32658,Free Device,Unlimited,Device Offers,42.04,1001,105,1
24763,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,8.45,1198,84,1
47611,Upgrade to Premium Services for Free,Premium,Device Offers,1.74,1777,213,1
39604,Free Device,Unlimited,Device Offers,22.73,933,120,1
43095,Discounted Data Bundles,Basic,Value-Added Services,12.26,1291,131,1
69503,Discounted Data Bundles,Basic,Voice Plans,2.96,870,337,1
38677,Loyalty-Based Free Data Top-Ups,Basic,Device Offers,36.37,1626,196,1
79960,Loyalty-Based Free Data Top-Ups,Unlimited,Data Plans,6.02,1478,18,1
32417,Upgrade to Premium Services for Free,Unlimited,Voice Plans,30.61,1348,129,1
86094,Discounted Voice Bundles,Premium,Device Offers,14.41,1787,11,1
62327,Loyalty-Based Free Data Top-Ups,Unlimited,Voice Plans,9.09,1654,80,1
68450,Discounted Data Bundles,Unlimited,Data Plans,19.3,245,329,1
37247,Discounted SMS Bundles,Basic,Device Offers,40.17,1364,353,1
69396,Free Device,Premium,Data Plans,19.91,992,261,1
44939,Discounted Data Bundles,Unlimited,Value-Added Services,37.66,443,391,1
19816,Discounted Data Bundles,Unlimited,Device Offers,6.71,1872,124,1
45921,Discounted Voice Bundles,Basic,Device Offers,38.75,1158,306,1
26603,Upgrade to Premium Services for Free,Basic,Device Offers,12.23,801,266,1
71813,Upgrade to Premium Services for Free,Unlimited,Device Offers,34.03,100,446,1
34387,Contract Extension Bonuses,Premium,Value-Added Services,28.51,252,440,1
